#{"t_start": 1600177249.637383, "env_id": null}
r,l,t
9.0,442,29.787953
4.0,123,36.653452
4.0,125,43.840696
4.0,123,50.930814
5.0,131,58.484055
3.0,132,66.285798
4.0,123,73.503898
3.0,123,80.462908
4.0,125,87.601217
3.0,68,91.427864
4.0,132,98.851461
3.0,135,106.631502
4.0,125,113.92319
4.0,123,120.908455
2.0,68,124.969777
4.0,127,132.334798
3.0,127,139.710428
4.0,123,146.725159
5.0,206,158.808372
4.0,123,166.390218
1.0,60,170.097144
4.0,125,177.451083
10.0,254,192.461716
4.0,123,199.774751
5.0,143,208.26418
4.0,125,215.670537
6.0,224,228.735133
3.0,126,236.250811
4.0,125,243.373518
4.0,126,250.458998
4.0,123,257.524357
5.0,133,265.870087
4.0,128,273.484366
